query_phrase,source_domain,url,title,description,date,show,click
"chuck norris",en.wikipedia.org,http://en.wikipedia.org/wiki/Karate_Kommandos&rct=j&sa=U&ei=WxesUNeGMcrDswbTyIDIAg&ved=0CCQQFjAE&q=site:en.wikipedia.org+chuck+norris&usg=AFQjCNHvvi33peWGCcltj3ltbiOAMBmmPw,"Karate Kommandos - Wikipedia, the free encyclopedia","
<b>Chuck Norris</b>: Karate Kommandos is an American animated television series that <br>  originally aired in 1986 as a syndicated five episode mini-series. It was created <b>...</b>
",2012-11-20,2,
"chuck norris",en.wikipedia.org,http://en.wikipedia.org/wiki/File:Chucknorris_ub.jpg&rct=j&sa=U&ei=WxesUNeGMcrDswbTyIDIAg&ved=0CCcQFjAF&q=site:en.wikipedia.org+chuck+norris&usg=AFQjCNG4Q6DrPIJ_DbScu1rPbbiWv61hFw,"File:<b>Chucknorris</b> ub.jpg - Wikipedia, the free encyclopedia","File:<b>Chucknorris</b> ub.jpg. From Wikipedia, the free encyclopedia. Jump to: <br>  navigation, search. File; File history; File usage. File:<b>Chucknorris</b> ub.jpg. No <br>  higher <b>...</b>
",2012-11-20,2,
"chuck norris",en.wikipedia.org,http://en.wikipedia.org/wiki/Wikipedia:Peer_review/Chuck_Norris_facts/archive1&rct=j&sa=U&ei=WxesUNeGMcrDswbTyIDIAg&ved=0CCkQFjAG&q=site:en.wikipedia.org+chuck+norris&usg=AFQjCNGGp6VGDCheu8gnAHSL9ruAimqitw,"Wikipedia:Peer review/<b>Chuck Norris</b> facts/archive1 - Wikipedia, the <b>...</b>
","Wikipedia:Peer review/<b>Chuck Norris</b> facts/archive1. From Wikipedia, the free <br>  encyclopedia. &lt; Wikipedia:Peer review. Jump to: navigation, search <b>...</b>
",2012-11-20,2,
"chuck norris",en.wikipedia.org,http://en.wikipedia.org/wiki/User:Nayrouz_Aly/Chuck_Norris&rct=j&sa=U&ei=WxesUNeGMcrDswbTyIDIAg&ved=0CCsQFjAH&q=site:en.wikipedia.org+chuck+norris&usg=AFQjCNFdyT4kKbBsgDz0qHz5dSAq43ZrIA,"User:Nayrouz Aly/<b>Chuck Norris</b> - Wikipedia, the free encyclopedia","Carlos Ray ""<b>Chuck</b>"" <b>Norris</b> (born March 10, 1940) is an American martial artist, <br>  actor and media personality. After serving in the United States Air Force, <b>...</b>
",2012-11-20,2,
"chuck norris",en.wikipedia.org,http://en.wikipedia.org/wiki/Missing_in_Action_(film)&rct=j&sa=U&ei=WxesUNeGMcrDswbTyIDIAg&ved=0CC4QFjAI&q=site:en.wikipedia.org+chuck+norris&usg=AFQjCNGttJgpWufZOjLAtQNG4iT5OYwAkA,"Missing in Action (film) - Wikipedia, the free encyclopedia","Missing in Action is a 1984 action B-movie directed by Joseph Zito and starring <br><b>Chuck Norris</b>. It is set in the context of the Vietnam War POW/MIA issue. Colonel <b>...</b>
",2012-11-20,2,
"chuck norris",en.wikipedia.org,http://en.wikipedia.org/wiki/Mike_Norris_(actor)&rct=j&sa=U&ei=WxesUNeGMcrDswbTyIDIAg&ved=0CDEQFjAJ&q=site:en.wikipedia.org+chuck+norris&usg=AFQjCNER8HysQ0l2WCQ9qdsSW6oHq1yREA,"Mike <b>Norris</b> (actor) - Wikipedia, the free encyclopedia","He is the son of the more famous actor and martial arts champion <b>Chuck Norris</b>. <br>  He starred in the 1986 drama film Born American and the 1991 action film Delta <b>...</b>
",2012-11-20,2,
"chuck norris",ru.wikipedia.org,http://ru.wikipedia.org/wiki/%25D0%25A4%25D0%25B0%25D0%25B9%25D0%25BB:Chuck_Norris_200611292256.jpg&rct=j&sa=U&ei=XBesULrlF4vHtAaIiIDwCw&ved=0CBQQFjAA&q=site:ru.wikipedia.org+chuck+norris&usg=AFQjCNFGbuUBzax0ih3W8AVpi_e68onMLQ,"Файл:<b>Chuck Norris</b> 200611292256.jpg — Википедия","English: Martial arts expert and action film star, <b>Chuck Norris</b> signs a T-shirt for <br>  Corporal William P. Kessler, 23 of Cedar Park, Texas. Kessler, a reconnaissance <b>...</b>
",2012-11-20,2,
"chuck norris",ru.wikipedia.org,"http://ru.wikipedia.org/wiki/%25D0%259D%25D0%25BE%25D1%2580%25D1%2580%25D0%25B8%25D1%2581,_%25D0%25A7%25D0%25B0%25D0%25BA&rct=j&sa=U&ei=XBesULrlF4vHtAaIiIDwCw&ved=0CBYQFjAB&q=site:ru.wikipedia.org+chuck+norris&usg=AFQjCNEiaB6SWc8sj8t4oQzVHoLMMMUDbw","Норрис, Чак — Википедия","
<b>Chuck Norris</b>, настоящее имя — Карлос Рэй Норрис-младший, англ. Carlos <br>  Ray Norris Jr.; 10 марта 1940, Райан, Оклахома) — американский киноактёр и <b>...</b>
",2012-11-20,2,
"chuck norris",ru.wikipedia.org,http://ru.wikipedia.org/wiki/%25D0%25A4%25D0%25B0%25D0%25BA%25D1%2582%25D1%258B_%25D0%25BE_%25D0%25A7%25D0%25B0%25D0%25BA%25D0%25B5_%25D0%259D%25D0%25BE%25D1%2580%25D1%2580%25D0%25B8%25D1%2581%25D0%25B5&rct=j&sa=U&ei=XBesULrlF4vHtAaIiIDwCw&ved=0CBkQFjAC&q=site:ru.wikipedia.org+chuck+norris&usg=AFQjCNGt0jsHkatCezy4sxP1d_FwYJWXpQ,"Факты о Чаке Норрисе — Википедия","Факты о Чаке Норрисе (англ. <b>Chuck Norris</b> Facts) — интернет-мем, <br>  представляющий собой иронические «факты» об известном актёре Чаке <br>  Норрисе, <b>...</b>
",2012-11-20,2,
"chuck norris",ru.wikipedia.org,http://ru.wikipedia.org/wiki/%25D0%25A1%25D0%25BF%25D0%25B8%25D1%2581%25D0%25BE%25D0%25BA_%25D0%25B8%25D0%25B3%25D1%2580_%25D0%25BD%25D0%25B0_Atari_2600&rct=j&sa=U&ei=XBesULrlF4vHtAaIiIDwCw&ved=0CBwQFjAD&q=site:ru.wikipedia.org+chuck+norris&usg=AFQjCNEosjSBl8NnIHkMDotwyuOpRQ4rQg,"Список игр на Atari 2600 — Википедия","
<b>...</b> Ambush (M-Network) — 1982; Artillery Duel/<b>Chuck Norris</b> Superkicks (Xonox) <br>  — 1983; Artillery Duel/Ghost Manor (Xonox) — 1983; Artillery Duel/Spike's Peak <b>...</b>
",2012-11-20,2,
"chuck norris",ru.wikipedia.org,http://ru.wikipedia.org/wiki/%25D0%25A1%25D0%25BF%25D0%25B8%25D1%2581%25D0%25BE%25D0%25BA_%25D0%25B8%25D0%25B3%25D1%2580_Gameloft&rct=j&sa=U&ei=XBesULrlF4vHtAaIiIDwCw&ved=0CB4QFjAE&q=site:ru.wikipedia.org+chuck+norris&usg=AFQjCNFnUr6GmdS4PMMYlgtQeBkNaQBjTw,"Список игр Gameloft — Википедия","
<b>...</b> Castle of Magic (iOS, Palm Pre, Nintendo DSi); Chess Classics (iOS); Chess <br>  and Backgammon Classics (iOS); Chessmaster · <b>Chuck Norris</b>: Bring on the Pain <b>...</b>
",2012-11-20,2,
"chuck norris",ru.wikipedia.org,http://ru.wikipedia.org/wiki/%25D0%25A4%25D0%25B0%25D0%25B9%25D0%25BB:Silent_rage.jpg&rct=j&sa=U&ei=XBesULrlF4vHtAaIiIDwCw&ved=0CCAQFjAF&q=site:ru.wikipedia.org+chuck+norris&usg=AFQjCNGs4qAdWg5dZHs-IfwFv8PesLGCXA,"Файл:Silent rage.jpg — Википедия","Источник, http://www.movieline.com/2010/03/happy-70th-<b>chuck</b>-<b>norris</b>-<br>  celebrating-silent-rage-the-action-stars-wildest-kick.php?page=all. Время <br>  создания <b>...</b>
",2012-11-20,2,
"chuck norris",ru.wikipedia.org,http://ru.wikipedia.org/wiki/Put_Yo_Hood_Up&rct=j&sa=U&ei=XBesULrlF4vHtAaIiIDwCw&ved=0CCIQFjAG&q=site:ru.wikipedia.org+chuck+norris&usg=AFQjCNHEJIqy7OswyWPuGkeV58TpzxHE4w,"Put Yo Hood Up — Википедия","2, «Uhh Ohh», J. Smith, S. <b>Norris</b>, <b>Chuck</b> Leonard, Bo Hagon, Khujo, Knighton, <br>  Khujo из Goodie Mob и Bo Hagon, 5:08. 3, «Put Yo Hood Up», J. Smith, S. <b>Norris</b> <b>...</b>
",2012-11-20,2,
"chuck norris",ru.wikipedia.org,http://ru.wikipedia.org/wiki/Youtoo_TV&rct=j&sa=U&ei=XBesULrlF4vHtAaIiIDwCw&ved=0CCQQFjAH&q=site:ru.wikipedia.org+chuck+norris&usg=AFQjCNHJAu93uH_FRAYwkoLa7qQhr-gVcg,"Youtoo TV — Википедия","""<b>Chuck Norris</b>' World Combat League to Air on AmericanLife TV Network(TM)"". <br>  December 1, 2009. ↑ Social-Media Focused Youtoo TV Replaces AmericanLife <b>...</b>
",2012-11-20,2,
"chuck norris",ru.wikipedia.org,http://ru.wikipedia.org/wiki/%25D0%25A1%25D1%2583%25D0%25BF%25D0%25B5%25D1%2580%25D0%25B8%25D1%2589%25D0%25B5%25D0%25B9%25D0%25BA%25D0%25B0_(%25D1%2584%25D0%25B8%25D0%25BB%25D1%258C%25D0%25BC)&rct=j&sa=U&ei=XBesULrlF4vHtAaIiIDwCw&ved=0CCYQFjAI&q=site:ru.wikipedia.org+chuck+norris&usg=AFQjCNEsuZAFvKQKJ8Uaew_0oYWgWzui3Q,"Суперищейка — Википедия","Чак Норрис /<b>Chuck Norris</b>/; Мишел Ламар Ричардс · Клайд Кусатсу /Clyde <br>  Kusatsu/; Херта Уэр /Herta Ware/; Кармайн Кариди /Carmine Caridi/; Эрик Фон <b>...</b>
",2012-11-20,2,
"chuck norris",ru.wikipedia.org,http://ru.wikipedia.org/wiki/%25D0%259D%25D0%25B5%25D1%2583%25D0%25B4%25D0%25B5%25D1%2580%25D0%25B6%25D0%25B8%25D0%25BC%25D1%258B%25D0%25B5_2&rct=j&sa=U&ei=XBesULrlF4vHtAaIiIDwCw&ved=0CCgQFjAJ&q=site:ru.wikipedia.org+chuck+norris&usg=AFQjCNH8k-rOerhzj4XzdDnRK2YDQfcqkQ,"Неудержимые 2 — Википедия","1 2 Jean Claude Van Damme and <b>Chuck Norris</b> join Bruce Willis and Arnold <b>...</b> A <br>  New Shot Of <b>Chuck Norris</b> &amp; More Filming For Expendables 2. Expendables <b>...</b>
",2012-11-20,2,
"chuck norris",lurkmore.to,http://lurkmore.to/%25D0%25A7%25D0%25B0%25D0%25BA_%25D0%259D%25D0%25BE%25D1%2580%25D1%2580%25D0%25B8%25D1%2581&rct=j&sa=U&ei=XResUOzvAYG1tAbqqoDwDg&ved=0CBQQFjAA&q=site:lurkmore.to+chuck+norris&usg=AFQjCNHYUJIBAVqyqfD2k8inBNvNQuumGA,"Чак Норрис — Lurkmore","16 окт 2012 <b>...</b> <b>Chuck</b>-<b>norris</b>-karate corvette.jpg. Уилт Чемберлен утверждает, что переспал <br>  более чем с 20.000 женщин за всю свою жизнь. А для Чака <b>...</b>
",2012-11-20,3,
"chuck norris",lurkmore.to,http://lurkmore.to/%25D0%259E%25D0%25B1%25D1%2581%25D1%2583%25D0%25B6%25D0%25B4%25D0%25B5%25D0%25BD%25D0%25B8%25D0%25B5:%25D0%25A7%25D0%25B0%25D0%25BA_%25D0%259D%25D0%25BE%25D1%2580%25D1%2580%25D0%25B8%25D1%2581&rct=j&sa=U&ei=XResUOzvAYG1tAbqqoDwDg&ved=0CBcQFjAB&q=site:lurkmore.to+chuck+norris&usg=AFQjCNEOioT1ILhkaQloZ9wVNCjy4pOIvw,"Обсуждение:Чак Норрис — Lurkmore","21 авг 2012 <b>...</b> У Чака Норриса не бывает ""мурашек"". Это у мурашек бывает Чак Норрис. <br><b>Chuck Norris</b>﻿ calling David Guetta ""Hello, David Guеtta?",2012-11-20,3,
"chuck norris",lurkmore.to,http://lurkmore.to/Barrens_chat&rct=j&sa=U&ei=XResUOzvAYG1tAbqqoDwDg&ved=0CBoQFjAC&q=site:lurkmore.to+chuck+norris&usg=AFQjCNHWN92ytNJup6wcorKl1RG5nasjcA,"Barrens chat — Lurkmore","24 фев 2012<b>...</b> [Player 6] How much wood would <b>Chuck Norris</b> chuck if <b>Chuck Norris</b> could <br>  chuck wood? (Сколько дерева Чак Норрис чакнет если бы Чак <b>...</b>
",2012-11-20,3,
"chuck norris",lurkmore.to,http://lurkmore.to/%25D0%259E%25D0%25B1%25D1%2581%25D1%2583%25D0%25B6%25D0%25B4%25D0%25B5%25D0%25BD%25D0%25B8%25D0%25B5:Magic:_The_Gathering&rct=j&sa=U&ei=XResUOzvAYG1tAbqqoDwDg&ved=0CB0QFjAD&q=site:lurkmore.to+chuck+norris&usg=AFQjCNHVRiNFk9NcSdQtS_cw-jmD7yVXzg,"Обсуждение:Magic: The Gathering — Lurkmore","14 сен 2011 <b>...</b> You may play <b>Chuck Norris</b> without paying it's mana cost. If <b>Chuck Norris</b> is in <br>  your opening hand and you're not playing first, you may begin the <b>...</b>
",2012-11-20,3,
"chuck norris",lurkmore.to,http://lurkmore.to/MySpace&rct=j&sa=U&ei=XResUOzvAYG1tAbqqoDwDg&ved=0CCAQFjAE&q=site:lurkmore.to+chuck+norris&usg=AFQjCNEWMf21p8mQ57_XVYbA7cSxHT8vZQ,"MySpace — Lurkmore","14 май 2012 <b>...</b> Некоторое время назад (до 05.10.2008) там вела свой бложек Аватара <br>  Гаечки. <b>CHUCK NORRIS</b> IS SUING MYSPACE FOR STEALING <b>...</b>
",2012-11-20,3,
"chuck norris",lurkmore.to,http://lurkmore.to/%25D0%25A3%25D0%25BF%25D1%258F%25D1%2587%25D0%25BA%25D0%25B0/%25D0%25A1%25D0%25BB%25D0%25BE%25D0%25B2%25D0%25B0%25D1%2580%25D1%258C&rct=j&sa=U&ei=XResUOzvAYG1tAbqqoDwDg&ved=0CCMQFjAF&q=site:lurkmore.to+chuck+norris&usg=AFQjCNFCU1mPC_ZTZCh6NTWv6YX7L8W2HQ,"Упячка/Словарь — Lurkmore","24 окт 2012 <b>...</b> Хрустячне крукурзане глазне со вкусом сгущней и томата (<b>Chuck Norris</b> <br>  approved); LЪЙS — аналог этого вашего Lays. Появился <b>...</b>
",2012-11-20,3,
"chuck norris",lurkmore.to,http://lurkmore.to/%25D0%259E%25D0%25B1%25D1%2581%25D1%2583%25D0%25B6%25D0%25B4%25D0%25B5%25D0%25BD%25D0%25B8%25D0%25B5:Google&rct=j&sa=U&ei=XResUOzvAYG1tAbqqoDwDg&ved=0CCYQFjAG&q=site:lurkmore.to+chuck+norris&usg=AFQjCNHbAYFH9TOEJv_KuilCk_unWSxdDA,"Обсуждение:Google — Lurkmore","на правах К.О.: Этого эффекта можно добиться если вбить в строчку <br>  поисковика ""Google <b>Chuck Norris</b>"" и нажать ""Мне повезет"" (в англ. версии ""I'm <b>...</b>
",2012-11-20,3,
"chuck norris",lurkmore.to,http://lurkmore.to/Encyclopedia_Dramatica/%25D0%2590%25D1%2582%25D0%25B5%25D0%25B8%25D1%2581%25D1%2582&rct=j&sa=U&ei=XResUOzvAYG1tAbqqoDwDg&ved=0CCgQFjAH&q=site:lurkmore.to+chuck+norris&usg=AFQjCNHiQFnteD2uGPSHHSMahdOz5HIbYg,"Encyclopedia Dramatica/Атеист — Lurkmore","21 апр 2012 <b>...</b> b. Magnify-clip.png. theamazingatheist Gay With <b>Chuck Norris</b>. b. Magnify-clip.<br>  png · Дэйн Кук — гарантированный троллинг атеистов.",2012-11-20,3,
"chuck norris",lurkmore.to,http://lurkmore.to/%25D0%2592%25D0%25B0%25D1%2581%25D1%2581%25D0%25B5%25D1%2580%25D0%25BC%25D0%25B0%25D0%25BD&rct=j&sa=U&ei=XResUOzvAYG1tAbqqoDwDg&ved=0CCsQFjAI&q=site:lurkmore.to+chuck+norris&usg=AFQjCNEOHJlIIVTYyW_wXj9sx6b1W8hSPQ,"Вассерман — Lurkmore","20 окт 2012 <b>...</b> Есть для OC Android приложение <b>Chuck Norris</b> Facts, если взять оттуда <br>  ЛЮБОЙ факт, он окажется спижженым из риальных историй об <b>...</b>
",2012-11-20,3,
"chuck norris",lurkmore.to,http://lurkmore.to/%25D0%259E%25D0%25B1%25D1%2581%25D1%2583%25D0%25B6%25D0%25B4%25D0%25B5%25D0%25BD%25D0%25B8%25D0%25B5:%25D0%25A3%25D0%25BF%25D1%258F%25D1%2587%25D0%25BA%25D0%25B0&rct=j&sa=U&ei=XResUOzvAYG1tAbqqoDwDg&ved=0CC4QFjAJ&q=site:lurkmore.to+chuck+norris&usg=AFQjCNHiyxKnHzHNcH-YbVH2MjIwjDmrxg,"Обсуждение:Упячка — Lurkmore","Хрустячне крукурзане глазне со вкусом сгущней и томата (<b>Chuck Norris</b> <br>  approved) LЪЙS — аналог этого вашего Lays. Появился недавно на отаке.ру <b>...</b>
",2012-11-20,3,
"bruce wolese",en.wikipedia.org,http://en.wikipedia.org/wiki/Bruce_Willis&rct=j&sa=U&ei=RBisUPbZKKmF4ATm6oG4CQ&ved=0CBUQFjAA&q=site:en.wikipedia.org+bruce+wolese&usg=AFQjCNGbOi5ZAT7x6KOTFO43tGbaHL23Qw,"
<b>Bruce Willis</b> - Wikipedia, the free encyclopedia","Walter <b>Bruce Willis</b> (born March 19, 1955), known professionally as <b>Bruce Willis</b>, <br>  is an American actor, producer, and musician. His career began in television in <b>...</b>
",2012-11-20,1,2
"bruce wolese",en.wikipedia.org,http://en.wikipedia.org/wiki/The_Return_of_Bruno_(album)&rct=j&sa=U&ei=RBisUPbZKKmF4ATm6oG4CQ&ved=0CB0QFjAB&q=site:en.wikipedia.org+bruce+wolese&usg=AFQjCNE0ovhzVIEIHFVEmTJSEnQeCQaEqw,"The Return of Bruno (album) - Wikipedia, the free encyclopedia","The Return of Bruno is the debut album by actor <b>Bruce Willis</b>. Released by <br>  Motown in 1987, this album is an eclectic gathering of R&amp;B music sung by Willis, <br>  with <b>...</b>
",2012-11-20,1,
"bruce wolese",en.wikipedia.org,http://en.wikipedia.org/wiki/Moonlighting_(TV_series)&rct=j&sa=U&ei=RBisUPbZKKmF4ATm6oG4CQ&ved=0CCAQFjAC&q=site:en.wikipedia.org+bruce+wolese&usg=AFQjCNGCZj_6vklrwlXwwtEJaHbWgILbBQ,"Moonlighting (TV series) - Wikipedia, the free encyclopedia","Starring <b>Bruce Willis</b> and Cybill Shepherd as private detectives, the show was a <br><b>...</b> <b>Bruce Willis</b> as David Addison: David Addison is a fast-talking, fun-loving <b>...</b>
",2012-11-20,1,
"bruce wolese",en.wikipedia.org,http://en.wikipedia.org/wiki/Unbreakable_(film)&rct=j&sa=U&ei=RBisUPbZKKmF4ATm6oG4CQ&ved=0CCMQFjAD&q=site:en.wikipedia.org+bruce+wolese&usg=AFQjCNFHZAc69DT0pSk41eGfJ2YJPwSo5w,"Unbreakable (film) - Wikipedia, the free encyclopedia","The film stars <b>Bruce Willis</b> and Samuel L. Jackson. Unbreakable <b>...</b> Years later, <br>  security guard David Dunn (<b>Bruce Willis</b>) is also searching for meaning in his life.",2012-11-20,1,
"bruce wolese",en.wikipedia.org,http://en.wikipedia.org/wiki/Surrogates_(film)&rct=j&sa=U&ei=RBisUPbZKKmF4ATm6oG4CQ&ved=0CCYQFjAE&q=site:en.wikipedia.org+bruce+wolese&usg=AFQjCNFQsdd36H9ChXRlx7M_V8gycW_tjw,"Surrogates (film) - Wikipedia, the free encyclopedia","Directed by Jonathan Mostow, it stars <b>Bruce Willis</b> as FBI Agent Tom Greer who <b>...</b> <br>  FBI agent Tom Greer (<b>Bruce Willis</b>) has a strained relationship with his wife <b>...</b>
",2012-11-20,1,
"bruce wolese",en.wikipedia.org,http://en.wikipedia.org/wiki/Hudson_Hawk&rct=j&sa=U&ei=RBisUPbZKKmF4ATm6oG4CQ&ved=0CCkQFjAF&q=site:en.wikipedia.org+bruce+wolese&usg=AFQjCNH6prC0kgigqcImQ1vYYUZXTVIFDQ,"Hudson Hawk - Wikipedia, the free encyclopedia","Eddie ""Hudson Hawk"" Hawkins (<b>Bruce Willis</b>) — ""Hudson Hawk"" is an expression <br>  that refers to the often bracing winds off of the Hudson river — is a master <b>...</b>
",2012-11-20,1,
"bruce wolese",en.wikipedia.org,http://en.wikipedia.org/wiki/The_Sixth_Sense&rct=j&sa=U&ei=RBisUPbZKKmF4ATm6oG4CQ&ved=0CCwQFjAG&q=site:en.wikipedia.org+bruce+wolese&usg=AFQjCNG4gHh-XkmwYVLvtS4GjZqVqWlc9g,"The Sixth Sense - Wikipedia, the free encyclopedia","Dr. Malcolm Crowe (<b>Bruce Willis</b>), a child psychologist in Philadelphia, returns <br>  home one night with his wife, Anna Crowe (Olivia Williams), after having been <b>...</b>
",2012-11-20,1,
"bruce wolese",en.wikipedia.org,http://en.wikipedia.org/wiki/12_Monkeys&rct=j&sa=U&ei=RBisUPbZKKmF4ATm6oG4CQ&ved=0CC8QFjAH&q=site:en.wikipedia.org+bruce+wolese&usg=AFQjCNEdTvvGX8aW7S1UKZuwKtVFh1xH0w,"12 Monkeys - Wikipedia, the free encyclopedia","12 Monkeys is a 1995 science fiction film directed by Terry Gilliam, inspired by <br>  Chris Marker's 1962 short film La jetée, and starring <b>Bruce Willis</b>, Madeleine <b>...</b>
",2012-11-20,1,
"bruce wolese",en.wikipedia.org,http://en.wikipedia.org/wiki/File:BruceWillisLFDHpremiere07.jpg&rct=j&sa=U&ei=RBisUPbZKKmF4ATm6oG4CQ&ved=0CDIQFjAI&q=site:en.wikipedia.org+bruce+wolese&usg=AFQjCNHqmKMdTuwLaKQmbahwi5B-UxvzOw,"File:BruceWillisLFDHpremiere07.jpg - Wikipedia, the free <b>...</b>
","Description, <b>Bruce Willis</b> at a Live Free or Die Hard (Die Hard 4.0) premiere at the <br>  Empire Leicester Square in London. Date, 20 June 2007(2007-06-20) <b>...</b>
",2012-11-20,1,
"bruce wolese",en.wikipedia.org,http://en.wikipedia.org/wiki/Hostage_(film)&rct=j&sa=U&ei=RBisUPbZKKmF4ATm6oG4CQ&ved=0CDQQFjAJ&q=site:en.wikipedia.org+bruce+wolese&usg=AFQjCNHqQcXbqwkDNYCOtgD5CinbzklzkQ,"Hostage (film) - Wikipedia, the free encyclopedia","Hostage is a 2005 thriller film with <b>Bruce Willis</b> that was directed by Florent Emilio <br>  Siri. The film was based on a novel by Robert Crais, and was adapted for the <b>...</b>
",2012-11-20,1,
"bruce wolese",ru.wikipedia.org,"http://ru.wikipedia.org/wiki/%25D0%25A3%25D0%25B8%25D0%25BB%25D0%25BB%25D0%25B8%25D1%2581,_%25D0%2591%25D1%2580%25D1%258E%25D1%2581&rct=j&sa=U&ei=RRisUNf4EInl4QTuzoDgCw&ved=0CBUQFjAA&q=site:ru.wikipedia.org+bruce+wolese&usg=AFQjCNGgyf05nVjUNAzChVGD6f6_D62llA","Уиллис, Брюс — Википедия","Walter <b>Bruce Willis</b>, 19 марта 1955(19550319), Идар-Оберштайн, Рейнланд-<br>  Пфальц) — американский киноактёр, продюсер, музыкант. Один из самых <b>...</b>
",2012-11-20,1,
"bruce wolese",ru.wikipedia.org,http://ru.wikipedia.org/wiki/%25D0%2596%25D0%25B5%25D0%25BB%25D0%25B5%25D0%25B7%25D0%25BD%25D0%25BE%25D0%25B4%25D0%25BE%25D1%2580%25D0%25BE%25D0%25B6%25D0%25BD%25D0%25B8%25D0%25BA_(%25D1%2584%25D0%25B8%25D0%25BB%25D1%258C%25D0%25BC)&rct=j&sa=U&ei=RRisUNf4EInl4QTuzoDgCw&ved=0CBgQFjAB&q=site:ru.wikipedia.org+bruce+wolese&usg=AFQjCNGlp85X8xeJ5qmuj8FX8J1pqOip3w,"Железнодорожник (фильм) — Википедия","
<b>...</b> Casting Net: Nicole Kidman replaces Rachel Weisz, <b>Bruce Willis</b> lands action <br>  role with a 'Bullet'; ↑ 'War Horse' Star Jeremy Irvine to Play Young Colin Firth in <b>...</b>
",2012-11-20,1,
"bruce wolese",ru.wikipedia.org,http://ru.wikipedia.org/wiki/%25D0%259D%25D0%25B5%25D1%2583%25D0%25B4%25D0%25B5%25D1%2580%25D0%25B6%25D0%25B8%25D0%25BC%25D1%258B%25D0%25B5_2&rct=j&sa=U&ei=RRisUNf4EInl4QTuzoDgCw&ved=0CBoQFjAC&q=site:ru.wikipedia.org+bruce+wolese&usg=AFQjCNEBlq2veULjMV9c31FWBdUismw7-A,"Неудержимые 2 — Википедия","Sylvester Stallone Wants <b>Bruce Willis</b> to Play a “Super Villain” in THE <b>...</b> 1 2 Jean <br>  Claude Van Damme and Chuck Norris join <b>Bruce Willis</b> and Arnold <b>...</b>
",2012-11-20,1,
